418,3314,970,3418,472,3914,1302,4293,1680,3351,1763,3425,1700,850,2501,4337,2633,1100,2861,4321,2760,445,1852,1146,3365,2495,584,3359
0.256,-0.097,0.003,0.103,0.211,-0.05,-0.065,0.017,0.036,-0.024,-0.029,0.096,0.117,0.007,-0.069,-0.007,0.127,0.012,-0.087,0.12,0.163,0.244,0.022,0.042,-0.04,-0.065,-0.229,-0.008
0.245,-0.171,-0.091,0.164,0.484,-0.006,0.011,-0.03,0.007,-0.031,-0.176,0.137,0.101,0.144,-0.028,-0.018,-0.122,0.086,-0.169,0.002,-0.092,0.314,-0.193,0.112,-0.1,-0.021,0.016,-0.19
0.321,-0.352,0.203,0.252,0.397,0.108,0.011,-0.437,0.224,-0.166,-0.29,0.309,0.256,-0.156,-0.576,-0.539,0.372,0.166,0.071,-0.504,-0.151,0.241,-0.382,0.111,-0.341,-0.055,-0.175,-0.32
0.374,-0.03,0.036,-0.051,0.643,-0.016,-0.452,0.022,0.026,-0.075,0.006,-0.002,-0.002,-0.021,0.021,0.09,-0.251,-0.025,-0.069,0.133,-0.248,0.746,-0.011,-0.072,-0.109,0.005,0.043,0.036
0.511,-0.227,0.083,0.24,0.384,0.288,-0.315,-0.189,0.107,-0.172,-0.48,0.182,0.049,-0.204,-0.226,-0.156,0.02,0.051,0.152,-0.147,0.081,0.453,0.05,-0.317,-0.319,-0.228,-0.238,-0.077
0.122,-0.084,-0.349,-0.027,0.008,0.024,0.04,0.129,-0.215,0.042,-0.076,-0.001,-0.008,0.011,-0.392,0.024,0.084,0.006,-0.028,-0.005,0.194,0.036,-0.293,-0.025,-0.129,-0.381,-0.009,0.114
0.192,0.202,-0.116,-0.213,0.172,0.142,0.235,-0.003,-0.064,0.236,-0.124,-0.051,-0.076,0.076,0.005,-0.134,-0.104,0.348,0.083,-0.192,0.112,0.186,-0.146,-0.219,0.033,-0.05,0.154,0.439
0.693,-0.069,-0.093,0.21,0.617,0.096,0.024,0.013,-0.141,-0.053,-0.047,0.161,-0.051,-0.035,-0.003,-0.106,-0.05,-0.109,0.398,-0.142,-0.147,0.616,0.009,0.057,-0.188,-0.041,-0.04,0.108
0.302,-0.188,-0.277,-0.116,0.139,-0.019,0.178,0.029,-0.203,0.004,-0.204,-0.119,-0.094,0.066,1.067,0.183,-0.206,-0.385,0.115,0.131,-0.148,0.122,-0.058,-0.312,-0.074,0.097,0.159,0.07
0.772,-0.287,-0.314,-0.38,-0.13,0.114,-0.388,-0.286,0.036,-0.294,0.082,-0.546,-0.212,0.181,0.338,-0.158,0.843,0.953,-0.406,-0.11,-0.61,-0.164,-0.731,0.097,-0.635,0.466,-0.21,-0.232
0.055,0.071,-0.185,-0.064,0.331,-0.244,-0.099,-0.005,-0.15,0.041,-0.067,-0.073,-0.075,-0.031,-0.068,0.097,-0.119,0.212,0.127,-0.022,0.026,-0.007,-0.055,0.058,-0.041,-0.057,0.024,0.148
0.121,-30.0,0.317,0.227,0.476,0.05,-30.0,0.286,-30.0,-0.11,-30.0,0.096,0.039,0.186,-30.0,-30.0,0.273,0.16,-0.372,0.048,0.004,0.036,-0.072,-0.221,-0.053,0.6,0.081,-0.13
0.339,-0.265,-0.277,-0.537,0.134,0.135,-0.312,0.211,-0.346,-0.278,-0.285,-0.113,-0.307,0.211,0.031,0.339,-0.168,-0.061,0.672,0.227,0.125,0.21,-0.206,0.121,-0.292,0.041,0.291,-0.159
0.188,-0.223,-0.098,0.018,0.161,-0.086,-0.232,-0.209,0.197,-0.089,-0.095,-0.073,0.084,0.084,-0.125,-0.196,-0.236,-0.016,0.074,-0.232,0.124,0.161,-0.003,-0.217,-0.23,-0.023,0.113,-0.161
